,StartDate,EndDate,CurrentRelationshipStatus,RelationshipLength,Frequency in separate beds,YouSleepAt,PartnerSleepAt,Reason_One of us snores,Reason_One of us makes frequent bathroom trips in the night,Reason_One of us is sick,Reason_We are no longer physically intimate,Reason_We have different temperature preferences for the room,Reason_We have had an argument or fight,Reason_Not enough space,Reason_Do not want to share the covers,Reason_One of us needs to sleep with a child,Reason_Night working/very different sleeping times,Reason_Other,First time in separate beds,Sleeping in separate beds helps us to stay together,We sleep better when we sleep in separate beds,Our sex life has improved as a result of sleeping in separate beds,Occupation,Gender,Age,Household income,Education,Location,Household income_code,Age_code,Education_code,Gender_code,Sleeping in separate beds helps us to stay together_code,We sleep better when we sleep in separate beds_code,Our sex life has improved as a result of sleeping in separate beds_code
803,7/9/14 18:29,7/9/14 18:32,Married,More than 20 years,Every night,On the couch/chair,Separate bedroom,0,0,0,1,0,0,0,0,0,0,0,Within the first 1-5 years of our relationship,Strongly disagree,Strongly agree,Strongly disagree,ret.,Male,> 60,"$50,000 - $99,999",Did not disclose,East North Central,3,4,0,0,1.0,5.0,1.0
808,7/9/14 18:29,7/9/14 18:31,Married,16-20 years,Every night,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",Separate bedroom,1,0,0,0,0,0,1,0,0,0,0,Within 11-15 years of our relationship,Somewhat agree,Strongly agree,Neither agree nor disagree,Financial advisor,Female,30-44,"$150,000+",Bachelor degree,East North Central,5,2,4,1,4.0,5.0,3.0
812,7/9/14 18:28,7/9/14 18:31,Married,11-15 years,Once a year or less,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",Separate bedroom,0,0,0,0,0,1,0,0,1,0,0,Within the first 1-5 years of our relationship,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,"Education, Training, and Library Occupations",Female,30-44,"$50,000 - $99,999",Graduate degree,Pacific,3,2,5,1,3.0,2.0,2.0
817,7/9/14 18:26,7/9/14 18:34,Married,More than 20 years,Every night,Separate bedroom,Separate bedroom,1,0,0,0,1,0,0,0,0,0,0,Within 11-15 years of our relationship,Strongly agree,Strongly agree,Strongly agree,Healthcare Support Occupations,Male,> 60,Did not disclose,Graduate degree,East North Central,0,4,5,0,5.0,5.0,5.0
818,7/9/14 18:27,7/9/14 18:29,Married,11-15 years,Once a year or less,On the couch/chair,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,0,0,0,0,0,0,0,0,1,Within the first 1-5 years of our relationship,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Business and Financial Operations Occupations,Male,45-60,"$150,000+",Graduate degree,West North Central,5,3,5,0,3.0,2.0,1.0
820,7/9/14 18:27,7/9/14 18:29,Married,More than 20 years,A few times per month,Separate bedroom,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,0,0,0,0,0,0,0,1,0,Within 6-10 years of our relationship,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Computer and Mathematical Occupations,Male,45-60,Did not disclose,Bachelor degree,West North Central,0,3,4,0,3.0,3.0,3.0
822,7/9/14 18:26,7/9/14 18:29,Married,6-10 years,A few times per month,"I sleep in our shared bed, my partner is the one who sleeps somewhere else","Shared bedroom, different bed",0,0,0,0,0,1,0,0,1,0,0,Within the first 1-5 years of our relationship,Somewhat disagree,Somewhat disagree,Strongly disagree,homemake and homeschool teacher,Female,18-29,"$0 - $24,999",Bachelor degree,East South Central,1,1,4,1,2.0,2.0,1.0
823,7/9/14 18:26,7/9/14 18:28,"Single, but cohabiting with a significant other",6-10 years,Once a year or less,On the couch/chair,On the couch/chair,0,0,1,0,0,0,0,0,0,0,0,Within 6-10 years of our relationship,Strongly disagree,Neither agree nor disagree,Strongly disagree,"Government, public sector, Dept. of Motor Vehicles clerk",Female,> 60,"$50,000 - $99,999",Some college or Associate degree,East North Central,3,4,3,1,1.0,3.0,1.0
827,7/9/14 18:26,7/9/14 18:27,Married,More than 20 years,Once a year or less,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",On the couch/chair,0,0,1,0,0,0,0,0,0,0,0,Within 11-15 years of our relationship,Somewhat disagree,Strongly disagree,Strongly disagree,Protective Service Occupations,Female,45-60,"$100,000 - $149,999",Some college or Associate degree,West South Central,4,3,3,1,2.0,1.0,1.0
828,7/9/14 18:26,7/9/14 18:27,Married,1-5 years,A few times per week,On the couch/chair,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",1,0,1,1,0,1,0,0,0,0,0,Within the first 1-5 years of our relationship,Somewhat disagree,Somewhat agree,Strongly disagree,Construction and Extraction Occupations,Male,30-44,"$150,000+",Graduate degree,South Atlantic,5,2,5,0,2.0,4.0,1.0
829,7/9/14 18:26,7/9/14 18:27,Married,11-15 years,Every night,"Shared bedroom, different bed","Shared bedroom, different bed",1,0,0,0,0,0,0,1,0,0,0,Within the first 1-5 years of our relationship,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,retired,Female,> 60,"$50,000 - $99,999",Graduate degree,Middle Atlantic,3,4,5,1,3.0,4.0,3.0
830,7/9/14 18:25,7/9/14 18:30,Married,More than 20 years,Once a year or less,Separate bedroom,Separate bedroom,0,0,1,0,0,0,0,0,0,0,0,After 20 years of our relationship,Strongly disagree,Strongly disagree,Strongly disagree,retired engineer,Male,> 60,"$150,000+",Graduate degree,New England,5,4,5,0,1.0,1.0,1.0
832,7/9/14 18:25,7/9/14 18:30,Married,16-20 years,Every night,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",On the couch/chair,1,0,0,0,1,0,0,0,0,1,1,Within the first 1-5 years of our relationship,Somewhat disagree,Strongly agree,Somewhat disagree,Community and Social Service Occupations,Female,45-60,"$100,000 - $149,999",Graduate degree,West South Central,4,3,5,1,2.0,5.0,2.0
833,7/9/14 18:25,7/9/14 18:27,Married,More than 20 years,Once a month or less,On the couch/chair,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,0,0,0,0,0,0,0,1,0,Within 16-20 years of our relationship,Somewhat agree,Somewhat agree,Neither agree nor disagree,Retired,Female,> 60,"$100,000 - $149,999",Some college or Associate degree,Pacific,4,4,3,1,4.0,4.0,3.0
835,7/9/14 18:25,7/9/14 18:29,Married,More than 20 years,Every night,Separate bedroom,Separate bedroom,0,0,0,0,1,0,0,0,0,1,0,After 20 years of our relationship,Strongly agree,Strongly agree,Neither agree nor disagree,retired,Male,> 60,"$25,000 - $49,999",Did not disclose,West North Central,2,4,0,0,5.0,5.0,3.0
836,7/9/14 18:24,7/9/14 18:29,Married,More than 20 years,Every night,Other (please specify),"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,1,0,0,1,0,0,0,1,1,Within 11-15 years of our relationship,Somewhat agree,Strongly agree,Neither agree nor disagree,Office and Administrative Support Occupations,Female,45-60,"$50,000 - $99,999",Bachelor degree,East South Central,3,3,4,1,4.0,5.0,3.0
837,7/9/14 18:24,7/9/14 18:27,Married,16-20 years,Once a year or less,On the couch/chair,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,1,0,0,1,0,0,0,0,0,Within 11-15 years of our relationship,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Computer and Mathematical Occupations,Male,45-60,"$0 - $24,999",Some college or Associate degree,Pacific,1,3,3,0,3.0,4.0,3.0
841,7/9/14 18:24,7/9/14 18:26,Married,11-15 years,Once a month or less,On the couch/chair,On the couch/chair,1,0,1,0,0,0,0,0,1,0,0,Within 11-15 years of our relationship,Strongly disagree,Strongly disagree,Strongly disagree,Mom and housewife,Female,18-29,Did not disclose,Bachelor degree,East South Central,0,1,4,1,1.0,1.0,1.0
842,7/9/14 18:24,7/9/14 18:26,Married,More than 20 years,Once a year or less,On the couch/chair,On the couch/chair,1,0,0,0,0,0,0,0,0,0,0,Within 6-10 years of our relationship,Strongly disagree,Strongly disagree,Strongly disagree,"Installation, Maintenance, and Repair Occupations",Male,45-60,"$100,000 - $149,999",High school degree,New England,4,3,2,0,1.0,1.0,1.0
844,7/9/14 18:24,7/9/14 18:27,Married,16-20 years,Every night,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",Separate bedroom,1,0,0,0,0,0,0,0,0,0,0,Within 6-10 years of our relationship,Strongly agree,Strongly agree,Somewhat disagree,Sales and Related Occupations,Male,> 60,"$150,000+",Bachelor degree,East North Central,5,4,4,0,5.0,5.0,2.0
845,7/9/14 18:24,7/9/14 18:25,Married,11-15 years,Once a year or less,Separate bedroom,Separate bedroom,1,0,0,0,0,0,0,0,0,0,0,Within 6-10 years of our relationship,Neither agree nor disagree,Strongly disagree,Strongly disagree,Computer and Mathematical Occupations,Female,45-60,Did not disclose,Bachelor degree,East North Central,0,3,4,1,3.0,1.0,1.0
848,7/9/14 18:23,7/9/14 18:25,Married,6-10 years,A few times per week,Separate bedroom,On the couch/chair,1,0,0,0,0,0,0,0,0,0,0,Within the first 1-5 years of our relationship,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,"Education, Training, and Library Occupations",Female,30-44,"$50,000 - $99,999",Graduate degree,East North Central,3,2,5,1,3.0,5.0,3.0
849,7/9/14 18:23,7/9/14 18:26,Married,6-10 years,Every night,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",On the couch/chair,1,0,0,0,0,0,0,0,1,1,0,Within the first 1-5 years of our relationship,Strongly disagree,Somewhat agree,Neither agree nor disagree,Community and Social Service Occupations,Female,30-44,"$25,000 - $49,999",High school degree,East North Central,2,2,2,1,1.0,4.0,3.0
852,7/9/14 18:23,7/9/14 18:25,Married,More than 20 years,Every night,Separate bedroom,Separate bedroom,1,0,1,0,1,0,0,0,0,0,0,After 20 years of our relationship,Strongly agree,Strongly agree,Neither agree nor disagree,retired,Female,> 60,Did not disclose,Graduate degree,Middle Atlantic,0,4,5,1,5.0,5.0,3.0
855,7/9/14 18:23,7/9/14 18:25,Married,6-10 years,Once a year or less,On the couch/chair,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,0,0,0,0,0,0,1,0,0,Within 6-10 years of our relationship,Strongly disagree,Strongly agree,Somewhat disagree,Computer and Mathematical Occupations,Male,30-44,Did not disclose,Some college or Associate degree,Pacific,0,2,3,0,1.0,5.0,2.0
859,7/9/14 18:22,7/9/14 18:24,Married,More than 20 years,Once a month or less,On the couch/chair,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,0,0,0,0,0,0,0,1,0,After 20 years of our relationship,Strongly disagree,Strongly disagree,Strongly disagree,Legal Occupations,Female,45-60,"$50,000 - $99,999",Graduate degree,New England,3,3,5,1,1.0,1.0,1.0
861,7/9/14 18:22,7/9/14 18:23,Married,More than 20 years,Once a year or less,Separate bedroom,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",1,0,0,0,0,0,0,0,0,0,0,After 20 years of our relationship,Strongly disagree,Strongly disagree,Strongly disagree,Retired,Male,> 60,Did not disclose,High school degree,East North Central,0,4,2,0,1.0,1.0,1.0
862,7/9/14 18:21,7/9/14 18:23,Married,More than 20 years,Once a month or less,Separate bedroom,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,0,1,0,1,0,0,0,0,0,Within the first 1-5 years of our relationship,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,"Education, Training, and Library Occupations",Female,45-60,Did not disclose,Graduate degree,Middle Atlantic,0,3,5,1,3.0,4.0,3.0
868,7/9/14 18:21,7/9/14 18:23,Married,More than 20 years,Once a year or less,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",On the couch/chair,1,0,0,0,1,0,0,0,0,0,1,Within 11-15 years of our relationship,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Personal Care and Service Occupations,Female,45-60,"$0 - $24,999",Some college or Associate degree,New England,1,3,3,1,3.0,3.0,1.0
870,7/9/14 18:20,7/9/14 18:23,Married,More than 20 years,Once a year or less,Separate bedroom,Separate bedroom,0,0,1,0,0,0,0,0,0,0,0,Within 6-10 years of our relationship,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Healthcare Support Occupations,Female,45-60,Did not disclose,Graduate degree,Middle Atlantic,0,3,5,1,3.0,1.0,3.0
871,7/9/14 18:20,7/9/14 18:22,Married,More than 20 years,Every night,Separate bedroom,Separate bedroom,1,1,1,1,0,0,0,0,0,0,0,After 20 years of our relationship,Somewhat agree,Strongly agree,Somewhat disagree,retired,Male,> 60,"$50,000 - $99,999",Graduate degree,West North Central,3,4,5,0,4.0,5.0,2.0
872,7/9/14 18:20,7/9/14 18:22,Married,More than 20 years,Every night,Separate bedroom,Separate bedroom,1,1,0,0,0,0,0,0,0,0,0,After 20 years of our relationship,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,retired,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,0,0,0,2,3.0,4.0,3.0
874,7/9/14 18:19,7/9/14 18:24,"Single, but cohabiting with a significant other",1-5 years,Every night,Separate bedroom,Separate bedroom,0,0,0,1,1,0,1,1,0,0,0,Within the first 1-5 years of our relationship,Somewhat agree,Strongly agree,Somewhat disagree,Computer and Mathematical Occupations,Male,30-44,"$0 - $24,999",Bachelor degree,South Atlantic,1,2,4,0,4.0,5.0,2.0
876,7/9/14 18:19,7/9/14 18:22,Married,11-15 years,Once a month or less,Separate bedroom,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,1,0,0,0,1,0,0,0,0,Within 6-10 years of our relationship,Strongly disagree,Somewhat agree,Strongly disagree,Business and Financial Operations Occupations,Male,30-44,"$25,000 - $49,999",Some college or Associate degree,Middle Atlantic,2,2,3,0,1.0,4.0,1.0
877,7/9/14 18:19,7/9/14 18:21,Married,More than 20 years,Once a month or less,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",On the couch/chair,1,0,1,0,0,0,0,0,0,0,0,Within 16-20 years of our relationship,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,homemaker,Female,45-60,"$50,000 - $99,999",Bachelor degree,South Atlantic,3,3,4,1,3.0,3.0,3.0
878,7/9/14 18:19,7/9/14 18:23,Married,11-15 years,Once a month or less,On the couch/chair,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,0,0,0,0,0,0,1,0,0,Within 6-10 years of our relationship,Strongly disagree,Somewhat disagree,Strongly disagree,"Education, Training, and Library Occupations",Male,45-60,"$25,000 - $49,999",Graduate degree,West South Central,2,3,5,0,1.0,2.0,1.0
880,7/9/14 18:18,7/9/14 18:21,Married,11-15 years,Once a year or less,Separate bedroom,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",1,0,0,0,0,0,0,0,0,0,0,Within 6-10 years of our relationship,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Office and Administrative Support Occupations,Female,45-60,Did not disclose,Some college or Associate degree,Middle Atlantic,0,3,3,1,3.0,4.0,3.0
881,7/9/14 18:18,7/9/14 18:21,Married,6-10 years,Once a year or less,On the couch/chair,"Shared bedroom, different bed",0,0,0,0,0,1,0,0,0,0,0,Within the first 1-5 years of our relationship,Strongly disagree,Strongly disagree,Strongly disagree,Business and Financial Operations Occupations,Male,18-29,"$25,000 - $49,999",Some college or Associate degree,West South Central,2,1,3,0,1.0,1.0,1.0
883,7/9/14 18:18,7/9/14 18:22,Married,6-10 years,Once a month or less,Separate bedroom,Separate bedroom,0,0,0,0,0,0,0,0,0,1,0,Within the first 1-5 years of our relationship,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Legal Occupations,Male,45-60,"$150,000+",Bachelor degree,Did not disclose,5,3,4,0,3.0,5.0,3.0
885,7/9/14 18:17,7/9/14 18:19,Married,16-20 years,Every night,"Shared bedroom, different bed",Separate bedroom,1,0,0,0,0,0,0,0,0,0,0,Within 6-10 years of our relationship,Strongly disagree,Strongly agree,Neither agree nor disagree,Housekeeper,Female,45-60,"$0 - $24,999",Less than high school degree,South Atlantic,1,3,1,1,1.0,5.0,3.0
887,7/9/14 18:16,7/9/14 18:18,Married,More than 20 years,Every night,Separate bedroom,Separate bedroom,0,0,0,0,0,0,0,0,0,0,1,Within 16-20 years of our relationship,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,retired,Female,> 60,Did not disclose,Graduate degree,South Atlantic,0,4,5,1,3.0,4.0,3.0
888,7/9/14 18:17,7/9/14 18:17,Married,More than 20 years,Once a month or less,Separate bedroom,On the couch/chair,1,0,1,0,0,0,0,0,0,0,0,After 20 years of our relationship,Strongly disagree,Strongly agree,Strongly disagree,Office and Administrative Support Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,0,0,0,2,1.0,5.0,1.0
889,7/9/14 18:16,7/9/14 18:22,Married,More than 20 years,Every night,On the couch/chair,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,1,0,0,0,0,0,0,0,0,After 20 years of our relationship,Strongly agree,Strongly agree,Strongly disagree,retired,Female,> 60,Did not disclose,Bachelor degree,West South Central,0,4,4,1,5.0,5.0,1.0
892,7/9/14 18:15,7/9/14 18:17,Married,More than 20 years,Once a month or less,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",Separate bedroom,1,0,0,0,0,1,0,0,0,0,0,After 20 years of our relationship,Strongly disagree,Strongly disagree,Strongly disagree,Legal Occupations,Male,45-60,"$100,000 - $149,999",Graduate degree,Middle Atlantic,4,3,5,0,1.0,1.0,1.0
896,7/9/14 18:15,7/9/14 18:18,Married,More than 20 years,A few times per month,Separate bedroom,Separate bedroom,1,0,0,0,0,0,0,0,0,0,0,Within 16-20 years of our relationship,Strongly agree,Strongly agree,Neither agree nor disagree,"Education, Training, and Library Occupations",Female,45-60,Did not disclose,Some college or Associate degree,East North Central,0,3,3,1,5.0,5.0,3.0
898,7/9/14 18:14,7/9/14 18:16,Married,More than 20 years,Once a year or less,Separate bedroom,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,1,0,0,0,0,0,0,0,0,Within the first 1-5 years of our relationship,Somewhat disagree,Strongly disagree,Strongly disagree,Healthcare Support Occupations,Female,45-60,"$100,000 - $149,999",Bachelor degree,West North Central,4,3,4,1,2.0,1.0,1.0
902,7/9/14 18:14,7/9/14 18:16,"Single, but cohabiting with a significant other",6-10 years,Once a year or less,Separate bedroom,Separate bedroom,0,0,1,0,0,0,0,0,0,0,0,Within 6-10 years of our relationship,Strongly disagree,Strongly disagree,Neither agree nor disagree,Community and Social Service Occupations,Female,18-29,"$50,000 - $99,999",Bachelor degree,Mountain,3,1,4,1,1.0,1.0,3.0
903,7/9/14 18:14,7/9/14 18:16,Married,16-20 years,Every night,Separate bedroom,Separate bedroom,1,0,0,0,0,0,0,0,0,0,0,Within 11-15 years of our relationship,Strongly disagree,Neither agree nor disagree,Strongly disagree,Healthcare Practitioners and Technical Occupations,Female,45-60,Did not disclose,Bachelor degree,Middle Atlantic,0,3,4,1,1.0,3.0,1.0
904,7/9/14 18:14,7/9/14 18:16,"Single, but cohabiting with a significant other",6-10 years,Once a month or less,On the couch/chair,Other (please specify),0,0,0,0,0,0,0,0,0,1,1,Within the first 1-5 years of our relationship,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Computer and Mathematical Occupations,Male,18-29,"$50,000 - $99,999",Bachelor degree,Middle Atlantic,3,1,4,0,3.0,2.0,3.0
906,7/9/14 18:13,7/9/14 18:16,Married,More than 20 years,Every night,Separate bedroom,Separate bedroom,1,1,0,0,0,0,0,0,0,0,0,After 20 years of our relationship,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,retired,Male,> 60,"$100,000 - $149,999",Bachelor degree,West North Central,4,4,4,0,3.0,5.0,3.0
910,7/9/14 18:12,7/9/14 18:14,Married,16-20 years,Once a year or less,Separate bedroom,Separate bedroom,1,0,1,0,0,0,0,0,0,0,0,Within 6-10 years of our relationship,Strongly agree,Somewhat disagree,Neither agree nor disagree,Sales and Related Occupations,Male,45-60,"$100,000 - $149,999",Bachelor degree,South Atlantic,4,3,4,0,5.0,2.0,3.0
911,7/9/14 18:12,7/9/14 18:13,Married,11-15 years,Every night,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",Separate bedroom,0,0,0,0,0,1,0,0,0,0,0,Within 11-15 years of our relationship,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Office and Administrative Support Occupations,Male,45-60,"$150,000+",Graduate degree,South Atlantic,5,3,5,0,1.0,3.0,2.0
913,7/9/14 18:12,7/9/14 18:14,Married,More than 20 years,Every night,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",Separate bedroom,1,0,0,0,0,0,1,0,0,0,1,After 20 years of our relationship,Somewhat disagree,Strongly agree,Neither agree nor disagree,Healthcare Practitioners and Technical Occupations,Female,> 60,Did not disclose,Some college or Associate degree,Middle Atlantic,0,4,3,1,2.0,5.0,3.0
915,7/9/14 18:12,7/9/14 18:15,Married,More than 20 years,Once a year or less,Separate bedroom,Separate bedroom,0,0,1,0,0,0,0,0,0,0,0,Within 6-10 years of our relationship,Neither agree nor disagree,Strongly disagree,Strongly disagree,retired,Female,> 60,"$150,000+",Bachelor degree,Middle Atlantic,5,4,4,1,3.0,1.0,1.0
917,7/9/14 18:12,7/9/14 18:13,Married,More than 20 years,A few times per week,On the couch/chair,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",1,0,0,0,0,0,0,0,0,0,0,Within 11-15 years of our relationship,Somewhat agree,Somewhat agree,Neither agree nor disagree,"Education, Training, and Library Occupations",Female,45-60,"$50,000 - $99,999",Some college or Associate degree,East North Central,3,3,3,1,4.0,4.0,3.0
919,7/9/14 18:12,7/9/14 18:13,Married,More than 20 years,A few times per month,On the couch/chair,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,0,0,0,0,0,0,0,0,1,Within 11-15 years of our relationship,Somewhat disagree,Somewhat agree,Somewhat disagree,"Life, Physical, and Social Science Occupations",Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,0,0,0,2,2.0,4.0,2.0
924,7/9/14 18:11,7/9/14 18:13,"Single, but cohabiting with a significant other",1-5 years,A few times per month,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",On the couch/chair,0,0,0,0,0,0,0,0,0,0,1,Within the first 1-5 years of our relationship,Strongly disagree,Strongly disagree,Strongly disagree,"Arts, Design, Entertainment, Sports, and Media Occupations",Female,30-44,"$100,000 - $149,999",Bachelor degree,South Atlantic,4,2,4,1,1.0,1.0,1.0
933,7/9/14 18:10,7/9/14 18:12,Married,11-15 years,Every night,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",Separate bedroom,1,0,0,0,0,0,0,0,0,0,0,Within 11-15 years of our relationship,Somewhat agree,Strongly agree,Strongly disagree,stay at home mom,Female,30-44,"$50,000 - $99,999",Some college or Associate degree,East North Central,3,2,3,1,4.0,5.0,1.0
941,7/9/14 18:09,7/9/14 18:10,Married,More than 20 years,Once a month or less,Separate bedroom,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",1,0,0,0,0,0,0,0,0,0,0,After 20 years of our relationship,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Office and Administrative Support Occupations,Female,45-60,"$50,000 - $99,999",Some college or Associate degree,West North Central,3,3,3,1,4.0,3.0,3.0
942,7/9/14 18:08,7/9/14 18:10,Married,More than 20 years,Once a month or less,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",On the couch/chair,1,0,1,0,0,0,0,0,0,0,0,Within the first 1-5 years of our relationship,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,"Arts, Design, Entertainment, Sports, and Media Occupations",Female,> 60,Did not disclose,Bachelor degree,Middle Atlantic,0,4,4,1,3.0,4.0,3.0
943,7/9/14 18:08,7/9/14 18:10,Married,6-10 years,Once a year or less,On the couch/chair,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,1,0,0,0,0,0,0,0,0,Within the first 1-5 years of our relationship,Strongly disagree,Strongly disagree,Strongly disagree,Architecture and Engineering Occupations,Female,30-44,"$150,000+",Graduate degree,South Atlantic,5,2,5,1,1.0,1.0,1.0
944,7/9/14 18:08,7/9/14 18:10,"Single, but cohabiting with a significant other",11-15 years,A few times per month,On the couch/chair,"Shared bedroom, different bed",1,1,1,0,0,0,0,0,0,0,1,Within the first 1-5 years of our relationship,Strongly agree,Strongly agree,Neither agree nor disagree,Office and Administrative Support Occupations,Female,30-44,"$50,000 - $99,999",Bachelor degree,Pacific,3,2,4,1,5.0,5.0,3.0
948,7/9/14 18:07,7/9/14 18:10,"Single, but cohabiting with a significant other",1-5 years,Once a month or less,Separate bedroom,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",1,0,0,0,0,1,0,0,0,0,1,Within the first 1-5 years of our relationship,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Management Occupations,Female,30-44,"$100,000 - $149,999",Bachelor degree,Pacific,4,2,4,1,3.0,2.0,1.0
952,7/9/14 18:07,7/9/14 18:08,Married,More than 20 years,Once a year or less,On the couch/chair,On the couch/chair,1,0,0,0,0,0,0,0,0,0,0,Within 6-10 years of our relationship,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,"Education, Training, and Library Occupations",Female,45-60,"$50,000 - $99,999",Graduate degree,South Atlantic,3,3,5,1,3.0,3.0,3.0
958,7/9/14 18:06,7/9/14 18:12,Married,11-15 years,A few times per month,Separate bedroom,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",1,0,1,0,0,0,0,0,0,0,0,Within 6-10 years of our relationship,Somewhat disagree,Strongly agree,Strongly disagree,"Education, Training, and Library Occupations",Female,45-60,"$150,000+",High school degree,Pacific,5,3,2,1,2.0,5.0,1.0
959,7/9/14 18:06,7/9/14 18:10,"Single, but cohabiting with a significant other",1-5 years,A few times per week,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",On the couch/chair,0,0,0,0,0,0,0,0,0,0,1,Within the first 1-5 years of our relationship,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Physical Service / Trade - Dog Grooming,Female,18-29,"$50,000 - $99,999",Some college or Associate degree,New England,3,1,3,1,3.0,3.0,3.0
962,7/9/14 18:01,7/9/14 18:06,Married,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,0,0,0,2,,,
964,7/9/14 18:05,7/9/14 18:08,Married,More than 20 years,A few times per week,Separate bedroom,Separate bedroom,1,1,0,0,0,0,0,0,0,0,0,After 20 years of our relationship,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,retired,Female,> 60,"$25,000 - $49,999",Graduate degree,Mountain,2,4,5,1,3.0,3.0,3.0
965,7/9/14 18:05,7/9/14 18:09,Married,16-20 years,Once a year or less,Separate bedroom,On the couch/chair,0,0,1,0,0,0,0,0,1,0,0,Within 6-10 years of our relationship,Strongly disagree,Neither agree nor disagree,Strongly disagree,Personal Care and Service Occupations,Female,45-60,"$0 - $24,999",Some college or Associate degree,West North Central,1,3,3,1,1.0,3.0,1.0
970,7/9/14 18:05,7/9/14 18:08,Married,More than 20 years,Every night,Separate bedroom,Separate bedroom,1,1,0,0,0,0,0,0,0,1,0,Within 16-20 years of our relationship,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Retired,Female,> 60,"$50,000 - $99,999",High school degree,South Atlantic,3,4,2,1,2.0,4.0,3.0
972,7/9/14 18:04,7/9/14 18:06,Married,16-20 years,Every night,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",On the couch/chair,1,0,1,0,0,0,1,0,0,0,0,Within 11-15 years of our relationship,Somewhat agree,Strongly agree,Neither agree nor disagree,Community and Social Service Occupations,Female,45-60,"$25,000 - $49,999",Bachelor degree,West South Central,2,3,4,1,4.0,5.0,3.0
