,StartDate,EndDate,CurrentRelationshipStatus,RelationshipLength,Frequency in separate beds,YouSleepAt,PartnerSleepAt,Reason_One of us snores,Reason_One of us makes frequent bathroom trips in the night,Reason_One of us is sick,Reason_We are no longer physically intimate,Reason_We have different temperature preferences for the room,Reason_We have had an argument or fight,Reason_Not enough space,Reason_Do not want to share the covers,Reason_One of us needs to sleep with a child,Reason_Night working/very different sleeping times,Reason_Other,First time in separate beds,Sleeping in separate beds helps us to stay together,We sleep better when we sleep in separate beds,Our sex life has improved as a result of sleeping in separate beds,Occupation,Gender,Age,Household income,Education,Location,Household income_code,Age_code,Education_code,Gender_code,Sleeping in separate beds helps us to stay together_code,We sleep better when we sleep in separate beds_code,Our sex life has improved as a result of sleeping in separate beds_code
423,7/9/14 19:26,7/9/14 19:28,Married,6-10 years,Every night,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",On the couch/chair,0,0,0,0,0,0,0,0,0,1,0,Within the first 1-5 years of our relationship,Strongly disagree,Strongly disagree,Strongly disagree,Management Occupations,Female,30-44,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic,3,2,3,1,1.0,1.0,1.0
426,7/9/14 19:26,7/9/14 19:28,Divorced,6-10 years,A few times per week,Other (please specify),Other (please specify),0,0,0,0,0,0,0,0,0,0,1,Immediately/ We've always slept in separate beds,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Office and Administrative Support Occupations,Male,45-60,"$25,000 - $49,999",Bachelor degree,West North Central,2,3,4,0,2.0,3.0,1.0
427,7/9/14 19:26,7/9/14 19:28,In a domestic partnership or civil union,11-15 years,A few times per month,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",Separate bedroom,0,0,0,0,1,0,0,0,0,0,0,Within 6-10 years of our relationship,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,retired,Male,> 60,"$50,000 - $99,999",Bachelor degree,West North Central,3,4,4,0,3.0,4.0,3.0
428,7/9/14 19:26,7/9/14 19:28,"Single, but cohabiting with a significant other",Less than 1 year,Once a month or less,Separate bedroom,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,0,0,1,1,0,0,0,0,0,Within the first 1-5 years of our relationship,Strongly disagree,Somewhat agree,Neither agree nor disagree,"Arts, Design, Entertainment, Sports, and Media Occupations",Female,18-29,"$50,000 - $99,999",Bachelor degree,West North Central,3,1,4,1,1.0,4.0,3.0
430,7/9/14 19:26,7/9/14 19:28,Married,16-20 years,Once a year or less,Separate bedroom,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,1,0,0,0,0,0,0,0,0,Within the first 1-5 years of our relationship,Somewhat agree,Somewhat agree,Strongly disagree,Healthcare Support Occupations,Male,45-60,"$50,000 - $99,999",Bachelor degree,Pacific,3,3,4,0,4.0,4.0,1.0
432,7/9/14 19:25,7/9/14 19:36,Married,6-10 years,Once a month or less,On the couch/chair,On the couch/chair,0,0,0,0,0,1,0,0,0,0,0,Within the first 1-5 years of our relationship,Somewhat agree,Strongly disagree,Strongly disagree,"Installation, Maintenance, and Repair Occupations",Male,30-44,"$25,000 - $49,999",High school degree,East North Central,2,2,2,0,4.0,1.0,1.0
433,7/9/14 19:25,7/9/14 19:29,Separated,More than 20 years,Every night,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",On the couch/chair,1,0,0,1,0,0,0,0,0,0,0,Within the first 1-5 years of our relationship,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Sales and Related Occupations,Female,45-60,"$50,000 - $99,999",Bachelor degree,Mountain,3,3,4,1,3.0,5.0,3.0
435,7/9/14 19:19,7/9/14 19:28,Married,More than 20 years,Once a year or less,On the couch/chair,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",1,0,1,0,0,0,0,0,0,0,0,Within 16-20 years of our relationship,Somewhat disagree,Somewhat disagree,Somewhat disagree,research,Female,45-60,"$50,000 - $99,999",Some college or Associate degree,East North Central,3,3,3,1,2.0,2.0,2.0
438,7/9/14 19:24,7/9/14 19:52,Married,More than 20 years,Every night,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",On the couch/chair,1,0,0,0,0,0,0,0,0,0,0,Within 6-10 years of our relationship,Strongly agree,Strongly agree,Neither agree nor disagree,Legal Occupations,Female,45-60,"$100,000 - $149,999",Some college or Associate degree,East North Central,4,3,3,1,5.0,5.0,3.0
443,7/9/14 19:23,7/9/14 19:27,Married,11-15 years,Once a year or less,Other (please specify),"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,0,0,0,0,0,0,0,0,1,Within 11-15 years of our relationship,Strongly disagree,Strongly disagree,Strongly disagree,Community and Social Service Occupations,Male,> 60,"$100,000 - $149,999",Graduate degree,West South Central,4,4,5,0,1.0,1.0,1.0
446,7/9/14 19:23,7/9/14 19:25,Married,More than 20 years,A few times per month,Separate bedroom,Separate bedroom,1,0,0,0,0,0,0,0,0,0,0,After 20 years of our relationship,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,"Education, Training, and Library Occupations",Female,45-60,"$50,000 - $99,999",Graduate degree,West South Central,3,3,5,1,3.0,3.0,3.0
449,7/9/14 19:22,7/9/14 19:26,Married,More than 20 years,Every night,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",Separate bedroom,1,0,0,1,0,0,1,0,0,0,1,Within 11-15 years of our relationship,Strongly agree,Strongly agree,Strongly disagree,Homemaker,Female,> 60,Did not disclose,High school degree,Pacific,0,4,2,1,5.0,5.0,1.0
451,7/9/14 19:22,7/9/14 19:25,Married,More than 20 years,Once a year or less,Separate bedroom,Separate bedroom,1,0,0,0,0,1,0,0,0,0,0,Within 6-10 years of our relationship,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Retired,Male,45-60,"$50,000 - $99,999",Bachelor degree,West South Central,3,3,4,0,3.0,2.0,1.0
454,7/9/14 19:22,7/9/14 19:25,Married,More than 20 years,Once a year or less,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",On the couch/chair,0,0,0,0,0,0,0,0,0,0,1,Within the first 1-5 years of our relationship,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Office and Administrative Support Occupations,Female,45-60,"$100,000 - $149,999",Some college or Associate degree,East North Central,4,3,3,1,3.0,5.0,3.0
456,7/9/14 19:22,7/9/14 19:24,Married,6-10 years,A few times per month,Other (please specify),Other (please specify),0,0,0,0,0,0,0,0,1,0,0,Within 6-10 years of our relationship,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Healthcare Support Occupations,Female,30-44,"$150,000+",Graduate degree,South Atlantic,5,2,5,1,3.0,2.0,3.0
458,7/9/14 19:21,7/9/14 19:21,"Single, but cohabiting with a significant other",,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,0,0,0,2,,,
459,7/9/14 19:21,7/9/14 19:23,Married,More than 20 years,Every night,Separate bedroom,Separate bedroom,0,1,0,0,0,0,0,0,0,0,0,After 20 years of our relationship,Strongly agree,Strongly agree,Neither agree nor disagree,Retired,Male,> 60,"$100,000 - $149,999",Graduate degree,Middle Atlantic,4,4,5,0,5.0,5.0,3.0
460,7/9/14 19:21,7/9/14 19:24,In a domestic partnership or civil union,1-5 years,Every night,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",On the couch/chair,1,1,0,0,1,0,1,1,0,1,0,Within the first 1-5 years of our relationship,Somewhat disagree,Somewhat agree,Strongly disagree,Healthcare Practitioners and Technical Occupations,Female,30-44,"$0 - $24,999",High school degree,East South Central,1,2,2,1,2.0,4.0,1.0
